"id","brand_norm","model_norm","variant_norm","model_raw","variant_raw","variant_raw2"
1,"ALFA ROMEO","145","NO VARIANT",NULL,NULL,NULL
2,"ALFA ROMEO","146","NO VARIANT",NULL,NULL,NULL
3,"ALFA ROMEO","146","TWIN SPARK",NULL,NULL,NULL
4,"ALFA ROMEO","147","TWIN SPARK",NULL,NULL,NULL
5,"ALFA ROMEO","147","TWIN SPARK SELESPEED",NULL,NULL,NULL
6,"ALFA ROMEO","155","TWIN SPARK",NULL,NULL,NULL
7,"ALFA ROMEO","156","NO VARIANT",NULL,NULL,NULL
8,"ALFA ROMEO","156","TWIN SPARK",NULL,NULL,NULL
9,"ALFA ROMEO","159","JTS SELESPEED",NULL,NULL,NULL
10,"ALFA ROMEO","166","V6",NULL,NULL,NULL
11,"ALFA ROMEO","GIULIA","NO VARIANT",NULL,NULL,NULL
12,"ALFA ROMEO","GIULIA","QUADRIFOGLIO V6 BITURBO",NULL,NULL,NULL
13,"ALFA ROMEO","GIULIA","VELOCE",NULL,NULL,NULL
14,"ALFA ROMEO","GIULIETTA","MULTIAIR",NULL,NULL,NULL
15,"ALFA ROMEO","GIULIETTA","TB MULTIAIR",NULL,NULL,NULL
16,"ALFA ROMEO","STELVIO","GT JUNIOR",NULL,NULL,NULL
17,"ALFA ROMEO","STELVIO","TURBO Q4 SPORT",NULL,NULL,NULL
18,"ALFA-ROMEO","146","NO VARIANT",NULL,NULL,NULL
19,"ALFA-ROMEO","147","TWIN SPARK SELESPEED",NULL,NULL,NULL
20,"ALFA-ROMEO","33","30I CBU",NULL,NULL,NULL
21,"ALFA-ROMEO","33","40LI CBU",NULL,NULL,NULL
22,"ALFA-ROMEO","4CSPIDER","18I LUXURY CKD",NULL,NULL,NULL
23,"ALFA-ROMEO","4CSPIDER","20I COUPE",NULL,NULL,NULL
24,"ALFA-ROMEO","4CSPIDER","20I M SPORT CKD",NULL,NULL,NULL
25,"ALFA-ROMEO","4CSPIDER","25I CKD",NULL,NULL,NULL
26,"ALFA-ROMEO","4CSPIDER","25I EXCLUSIVE CKD",NULL,NULL,NULL
27,"ALFA-ROMEO","4CSPIDER","25I SPORTS CKD",NULL,NULL,NULL
28,"ALFA-ROMEO","4CSPIDER","30E SPORT",NULL,NULL,NULL
29,"ALFA-ROMEO","4CSPIDER","30LI M SPORT",NULL,NULL,NULL
30,"ALFA-ROMEO","4CSPIDER","325D",NULL,NULL,NULL
31,"ALFA-ROMEO","4CSPIDER","530E M SPORT",NULL,NULL,NULL
32,"ALFA-ROMEO","8CCOMPETIZION","30CI CBU",NULL,NULL,NULL
33,"ALFA-ROMEO","8CCOMPETIZION","40CI CBU",NULL,NULL,NULL
34,"ALPINE","A110","EDC",NULL,NULL,NULL
35,"ASIA MOTORS","ASIA ROCSTA","AM102",NULL,NULL,NULL
36,"ASIA-MOTORS","ASIAROCSTA","AM102",NULL,NULL,NULL
37,"ASTON MARTIN","DB11","V12",NULL,NULL,NULL
38,"ASTON MARTIN","DB11","V8",NULL,NULL,NULL
39,"ASTON MARTIN","DB7","VANTAGE",NULL,NULL,NULL
40,"ASTON MARTIN","DB9","NO VARIANT",NULL,NULL,NULL
41,"ASTON MARTIN","DBS","VOLANTE",NULL,NULL,NULL
42,"ASTON MARTIN","DBX","707",NULL,NULL,NULL
43,"ASTON MARTIN","DBX","NO VARIANT",NULL,NULL,NULL
